ts,corr_90d_d1
2022-06-29 00:00:00+00:00,0.013898893736249083
2022-06-30 00:00:00+00:00,0.018603798886807143
2022-07-04 00:00:00+00:00,0.021626878244004378
2022-07-05 00:00:00+00:00,0.021669855080525147
2022-07-06 00:00:00+00:00,0.022504514310838865
2022-07-07 00:00:00+00:00,0.020240555192269718
2022-07-11 00:00:00+00:00,0.026032765431203284
2022-07-12 00:00:00+00:00,0.02527696492807888
2022-07-13 00:00:00+00:00,0.02721081332695578
2022-07-14 00:00:00+00:00,0.028461578935552723
2022-07-18 00:00:00+00:00,0.05994589030386199
2022-07-19 00:00:00+00:00,0.06471835708146284
2022-07-20 00:00:00+00:00,0.059476787500364545
2022-07-21 00:00:00+00:00,0.05688050169488959
2022-07-25 00:00:00+00:00,0.060154207272762314
2022-07-26 00:00:00+00:00,0.05643679449952401
2022-07-27 00:00:00+00:00,0.07241144886212988
2022-07-28 00:00:00+00:00,0.0785280498764366
2022-08-01 00:00:00+00:00,0.09183564378536466
2022-08-02 00:00:00+00:00,0.09442382174498032
2022-08-03 00:00:00+00:00,0.08444314090823404
2022-08-04 00:00:00+00:00,0.12322442314233435
2022-08-08 00:00:00+00:00,0.11362058790049898
2022-08-09 00:00:00+00:00,0.10396200287091094
2022-08-10 00:00:00+00:00,0.09884428373918522
2022-08-11 00:00:00+00:00,0.09752664185664901
2022-08-15 00:00:00+00:00,0.0885745549302496
2022-08-16 00:00:00+00:00,0.09984401742662546
2022-08-17 00:00:00+00:00,0.08725693384775465
2022-08-18 00:00:00+00:00,0.07262253751794659
2022-08-22 00:00:00+00:00,0.07709689911654119
2022-08-23 00:00:00+00:00,0.07442086152364792
2022-08-24 00:00:00+00:00,0.07441691133762426
2022-08-25 00:00:00+00:00,0.06429659364610099
2022-08-29 00:00:00+00:00,0.06378892775485558
2022-08-30 00:00:00+00:00,0.061600307668953976
2022-08-31 00:00:00+00:00,0.05972703332098176
2022-09-01 00:00:00+00:00,0.05636613806994238
2022-09-05 00:00:00+00:00,0.05745893423118815
2022-09-06 00:00:00+00:00,0.040201713133301696
2022-09-07 00:00:00+00:00,0.04477784278650478
2022-09-08 00:00:00+00:00,0.04763020615518714
2022-09-12 00:00:00+00:00,0.0188703890265813
2022-09-13 00:00:00+00:00,0.013087937610456573
2022-09-14 00:00:00+00:00,0.011563566257484177
2022-09-15 00:00:00+00:00,0.00960605709448232
2022-09-19 00:00:00+00:00,0.004720920361479824
2022-09-20 00:00:00+00:00,0.01990372520292048
2022-09-21 00:00:00+00:00,0.01560042275734937
2022-09-22 00:00:00+00:00,-0.0013150065241408213
2022-09-26 00:00:00+00:00,4.493553902732243e-06
2022-09-27 00:00:00+00:00,-0.009528082412080778
2022-09-28 00:00:00+00:00,0.0010507752603431072
2022-09-29 00:00:00+00:00,0.014629092532677511
2022-10-03 00:00:00+00:00,0.024158355653466117
2022-10-04 00:00:00+00:00,0.03188728831400197
2022-10-05 00:00:00+00:00,0.0322363716959967
2022-10-06 00:00:00+00:00,0.03304573589476289
2022-10-10 00:00:00+00:00,0.03294783210533489
2022-10-11 00:00:00+00:00,0.021549647350252017
2022-10-12 00:00:00+00:00,0.028797758808462914
2022-10-13 00:00:00+00:00,0.03018630085416302
2022-10-17 00:00:00+00:00,0.02640768653766865
2022-10-18 00:00:00+00:00,0.029637818815505132
2022-10-19 00:00:00+00:00,0.05234001098119668
2022-10-20 00:00:00+00:00,0.06894063655363562
2022-10-24 00:00:00+00:00,0.06283535148810947
2022-10-25 00:00:00+00:00,0.062238111890441004
2022-10-26 00:00:00+00:00,0.04580624534397649
2022-10-27 00:00:00+00:00,0.027501556797212234
2022-10-31 00:00:00+00:00,0.029669798846989393
2022-11-01 00:00:00+00:00,0.036019292039675445
2022-11-02 00:00:00+00:00,0.05519434234755992
2022-11-03 00:00:00+00:00,0.05667107178617832
2022-11-07 00:00:00+00:00,0.08264544860617178
2022-11-08 00:00:00+00:00,0.1252616778388677
2022-11-09 00:00:00+00:00,-0.041988112709199
2022-11-10 00:00:00+00:00,-0.02945277970233017
2022-11-14 00:00:00+00:00,-0.03801534995462376
2022-11-15 00:00:00+00:00,-0.04070497869801188
2022-11-16 00:00:00+00:00,-0.05852054635678711
2022-11-17 00:00:00+00:00,-0.05497075791504719
2022-11-21 00:00:00+00:00,-0.05083679450470137
2022-11-22 00:00:00+00:00,-0.048135548604832074
2022-11-23 00:00:00+00:00,-0.04804087457765935
2022-11-24 00:00:00+00:00,-0.04762038648186646
2022-11-28 00:00:00+00:00,-0.04296997360245217
2022-11-29 00:00:00+00:00,-0.07117667809950974
2022-11-30 00:00:00+00:00,-0.08154793536911774
2022-12-01 00:00:00+00:00,-0.08210700535009562
2022-12-05 00:00:00+00:00,-0.08123605004831427
2022-12-06 00:00:00+00:00,-0.07951462678005318
2022-12-07 00:00:00+00:00,-0.0866952887886751
2022-12-08 00:00:00+00:00,-0.08997133510854402
2022-12-12 00:00:00+00:00,-0.0933637781355434
2022-12-13 00:00:00+00:00,-0.09680732559632421
2022-12-14 00:00:00+00:00,-0.10570020034560747
2022-12-15 00:00:00+00:00,-0.10327118780133623
2022-12-19 00:00:00+00:00,-0.10492089669732287
2022-12-20 00:00:00+00:00,-0.10198785473135281
2022-12-21 00:00:00+00:00,-0.14877724346979626
2022-12-22 00:00:00+00:00,-0.15248174344593438
2022-12-27 00:00:00+00:00,-0.14834287633595206
2022-12-28 00:00:00+00:00,-0.15072140299808637
2022-12-29 00:00:00+00:00,-0.1599703976877302
2023-01-03 00:00:00+00:00,-0.16022776754532717
2023-01-04 00:00:00+00:00,-0.20791604881537767
2023-01-05 00:00:00+00:00,-0.21417721398774503
2023-01-09 00:00:00+00:00,-0.2130574910115621
2023-01-10 00:00:00+00:00,-0.20457766320085705
2023-01-11 00:00:00+00:00,-0.20139503850921509
2023-01-12 00:00:00+00:00,-0.19405347321938268
2023-01-16 00:00:00+00:00,-0.19202022397169363
2023-01-17 00:00:00+00:00,-0.18019315687683185
2023-01-18 00:00:00+00:00,-0.17990622664056957
2023-01-19 00:00:00+00:00,-0.17128899042712917
2023-01-23 00:00:00+00:00,-0.17024071245338088
2023-01-24 00:00:00+00:00,-0.17178079370277669
2023-01-25 00:00:00+00:00,-0.1659538069125634
2023-01-26 00:00:00+00:00,-0.16889657929934299
2023-01-30 00:00:00+00:00,-0.17777407241952814
2023-01-31 00:00:00+00:00,-0.173636422437068
2023-02-01 00:00:00+00:00,-0.16828580528032158
2023-02-02 00:00:00+00:00,-0.16532087456008027
2023-02-06 00:00:00+00:00,-0.15789423807218905
2023-02-07 00:00:00+00:00,-0.1652332985517362
2023-02-08 00:00:00+00:00,-0.16283555769326846
2023-02-09 00:00:00+00:00,-0.1598376541224676
2023-02-13 00:00:00+00:00,-0.16157693217242466
2023-02-14 00:00:00+00:00,-0.14179461057145903
2023-02-15 00:00:00+00:00,-0.16972271865921734
2023-02-16 00:00:00+00:00,-0.16789966532467168
2023-02-20 00:00:00+00:00,-0.1580651295761891
2023-02-21 00:00:00+00:00,-0.15420256796923879
2023-02-22 00:00:00+00:00,-0.1551791649308746
2023-02-23 00:00:00+00:00,-0.15413828737640575
2023-02-27 00:00:00+00:00,-0.15258495892925247
2023-02-28 00:00:00+00:00,-0.17381712555279993
2023-03-01 00:00:00+00:00,-0.17573450704994284
2023-03-02 00:00:00+00:00,-0.1602891805921324
2023-03-06 00:00:00+00:00,-0.1585766028625277
2023-03-07 00:00:00+00:00,-0.15640436726977194
2023-03-08 00:00:00+00:00,-0.13515287194045816
2023-03-09 00:00:00+00:00,-0.11141416830570058
2023-03-13 00:00:00+00:00,-0.09350046658970092
2023-03-14 00:00:00+00:00,-0.09614931167648959
2023-03-15 00:00:00+00:00,-0.1054072028351194
2023-03-16 00:00:00+00:00,-0.12324394950747221
2023-03-20 00:00:00+00:00,-0.1285988834979451
2023-03-21 00:00:00+00:00,-0.13370876753611444
2023-03-22 00:00:00+00:00,-0.1399059314496839
2023-03-23 00:00:00+00:00,-0.1303537958495097
2023-03-27 00:00:00+00:00,-0.1336416712196851
2023-03-28 00:00:00+00:00,-0.136789927165408
2023-03-29 00:00:00+00:00,-0.1347373472440713
2023-03-30 00:00:00+00:00,-0.1371720709147879
2023-04-03 00:00:00+00:00,-0.13141634776663944
2023-04-04 00:00:00+00:00,-0.1330337301880857
2023-04-05 00:00:00+00:00,-0.11983311605433729
2023-04-06 00:00:00+00:00,-0.10358390815093299
2023-04-10 00:00:00+00:00,-0.10464240036926627
2023-04-11 00:00:00+00:00,-0.11105081804491865
2023-04-12 00:00:00+00:00,-0.1208741555230529
2023-04-13 00:00:00+00:00,-0.12184973290454919
2023-04-17 00:00:00+00:00,-0.11944129128023888
2023-04-18 00:00:00+00:00,-0.19972915722328105
2023-04-19 00:00:00+00:00,0.08703448369993712
2023-04-20 00:00:00+00:00,0.0706037405032745
2023-04-24 00:00:00+00:00,0.06995316484946836
2023-04-25 00:00:00+00:00,0.06639214141688422
2023-04-26 00:00:00+00:00,0.06362327671300126
2023-04-27 00:00:00+00:00,0.07293154751928563
2023-05-01 00:00:00+00:00,0.11016579656987859
2023-05-02 00:00:00+00:00,0.0962643397722122
2023-05-03 00:00:00+00:00,0.09405098447571833
2023-05-04 00:00:00+00:00,0.0857253814694588
2023-05-08 00:00:00+00:00,0.08889214260342021
2023-05-09 00:00:00+00:00,0.07783731811851442
2023-05-10 00:00:00+00:00,0.08600962499407588
2023-05-11 00:00:00+00:00,0.08803357359236372
2023-05-15 00:00:00+00:00,0.08094066591948754
2023-05-16 00:00:00+00:00,0.07835880796577371
2023-05-17 00:00:00+00:00,0.08829310060758587
2023-05-18 00:00:00+00:00,0.10048597200024892
2023-05-22 00:00:00+00:00,0.097217142040438
2023-05-23 00:00:00+00:00,0.09991178756757327
2023-05-24 00:00:00+00:00,0.10195547351363063
2023-05-25 00:00:00+00:00,0.08871449595321038
2023-05-29 00:00:00+00:00,0.09263389845195961
2023-05-30 00:00:00+00:00,0.07645697552521984
2023-05-31 00:00:00+00:00,0.06494533803461422
2023-06-01 00:00:00+00:00,0.05562713946720374
2023-06-05 00:00:00+00:00,0.04227897617452299
2023-06-06 00:00:00+00:00,0.03582454177476042
2023-06-07 00:00:00+00:00,0.02879268864125688
2023-06-08 00:00:00+00:00,0.02918438024563816
2023-06-12 00:00:00+00:00,0.03349342960206399
2023-06-13 00:00:00+00:00,0.036062543136201095
2023-06-14 00:00:00+00:00,0.022739805788806845
2023-06-15 00:00:00+00:00,0.012871652263815142
2023-06-19 00:00:00+00:00,0.007335062206235196
2023-06-20 00:00:00+00:00,-0.01324406127185138
2023-06-21 00:00:00+00:00,-0.004614755354429013
2023-06-22 00:00:00+00:00,-0.005255552303164089
2023-06-26 00:00:00+00:00,-0.01564781144289215
2023-06-27 00:00:00+00:00,-0.02845282197182187
2023-06-28 00:00:00+00:00,-0.03048212612639837
2023-06-29 00:00:00+00:00,-0.026181939231005882
2023-07-03 00:00:00+00:00,-0.034193759651774694
2023-07-04 00:00:00+00:00,-0.032125532100269506
2023-07-05 00:00:00+00:00,-0.008941034362131083
2023-07-06 00:00:00+00:00,-0.015456078358882934
2023-07-10 00:00:00+00:00,-0.019273239753401398
2023-07-11 00:00:00+00:00,-0.019144112775855756
2023-07-12 00:00:00+00:00,-0.017818325004750297
2023-07-13 00:00:00+00:00,-0.012568370840377091
