ensemble,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,survived,vol_scale
SIGNVOTE,GBP_USD,forex,0.3514883718526069,-1.0250116565070595,-0.04627356068236388,0.5000576078596443,0.03929393278078049,-0.07816482217874261,-0.004629123959210043,-0.2317587840278318,463,0.8709288299155609,False,0.0
ZSCORE,GBP_USD,forex,0.7365236201099695,-0.6706327527209782,0.3146105493763802,1.4065807588316872,0.051113985488740236,-0.03290076690766855,0.019697129948466754,-0.08279443145709575,373,0.2858866103739445,False,0.0
TRENDQUAL,GBP_USD,forex,0.5299732224337644,-0.794514020580152,0.1375265883524561,0.8170940128438156,0.03635462722889947,-0.03815780656697731,0.008491111575435301,-0.10905658724043577,283,0.3323281061519904,False,0.0
MEANREV,GBP_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,False,0.0
VOLREGIME,GBP_USD,forex,-0.07702542939817639,-0.044598568428113626,-0.06603344993154096,0.5656989091072411,-0.007266507164889021,-0.003484416805303626,-0.005852215233077843,-0.21657150294176775,188,0.9867310012062727,False,0.0
SIGNVOTE,USD_JPY,forex,0.0834208673625499,-0.8424496772166987,-0.2744341033585261,0.6252470424528586,0.008624814812533667,-0.09203289382708807,-0.02899289426315378,-0.27295838768765146,467,0.8583484026522001,False,0.0
ZSCORE,USD_JPY,forex,-0.09116898825644042,-0.1004618431589406,-0.09457948691459882,1.2169159542070904,-0.00562547107203706,-0.007703106115688311,-0.006401922987084541,-0.1520522426961719,363,0.28390596745027125,False,0.0
TRENDQUAL,USD_JPY,forex,0.44523376061278563,-1.0364986867901425,-0.11908750016642215,1.488294966985607,0.030279037514574246,-0.07268278080759888,-0.00819976137617159,-0.17296652272710478,293,0.3508137432188065,False,0.0
MEANREV,USD_JPY,forex,0.0,-0.7899493173075934,-0.4826581677636694,0.0,0.0,-0.0021081996972532524,-0.0007878745101247839,-0.0035782525843005564,1,0.0006027727546714888,False,0.0
VOLREGIME,USD_JPY,forex,-0.216004730049686,-0.9714825254396391,-0.5142896580871217,0.5355765401765471,-0.01947137112192513,-0.09608675590944217,-0.048104004375849524,-0.21895683366190255,241,0.9867389993972272,False,0.0
SIGNVOTE,XAU_USD,forex,-0.20175007785978308,-0.4113054084750211,-0.29257167751971647,-1.3957409137304868,-0.03384343035926683,-0.09475847895802834,-0.05663578025947048,-0.47134436173358185,478,0.8411158277744087,False,0.0
ZSCORE,XAU_USD,forex,-0.010497698321939423,0.6123712851260817,0.28282828562490503,0.9579835901806844,-0.001066167511066167,0.09687177868675156,0.035578897864345316,-0.16959925724049674,388,0.31412977562158884,False,0.0
